Nazwisko aktualne,Liczba
PAJOR,3008
CYRAN,3006
KREFT,3006
TARKA,3001
IWAN,2998
WASZAK,2996
WILIŃSKI,2993
PISARSKI,2989
OSIECKI,2987
PIEKARZ,2986
WACHOWSKI,2986
KRAUSE,2985
TRUSZKOWSKI,2979
CZAPIEWSKI,2978
ZIEMBA,2978
PORĘBA,2977
SITARZ,2974
MOTYL,2972
GWIAZDA,2967
ŁUCZYŃSKI,2962
JELEŃ,2958
TRZASKA,2958
BABIARZ,2956
KOBYLIŃSKI,2955
OLENDER,2955
CZAPSKI,2954
PATER,2954
KRZAK,2953
CZARNY,2952
CABAN,2951
BACZYŃSKI,2949
MOSKWA,2947
NEUMANN,2945
KLOC,2944
SUCHOCKI,2944
SOSIŃSKI,2943
RYDZEWSKI,2939
GOLONKA,2935
MATUSZCZAK,2926
ZALESKI,2926
KOZIŃSKI,2925
MILER,2924
TOPOLSKI,2923
ZATORSKI,2922
PIWOWAR,2921
SZEWCZUK,2921
GREGORCZYK,2920
KRASUSKI,2917
BĄCZEK,2916
MACHOWSKI,2912
JEŻ,2909
GĄDEK,2907
MALCZEWSKI,2906
MACIASZEK,2904
MARKOWICZ,2903
DYLEWSKI,2901
POPIOŁEK,2893
SAKOWSKI,2893
FRYDRYCH,2892
STAROŃ,2890
OSTASZEWSKI,2888
KIELAR,2880
DAWIDOWSKI,2878
FABISIAK,2877
