IMIĘ_PIERWSZE,LICZBA_WYSTĄPIEŃ
NAILIA,11
NANULI,11
NESTAN,11
OLESJA,11
SABRIE,11
SALIHA,11
SALINA,11
SLAVKA,11
SUSANN,11
TSIALA,11
URANIA,11
UYANGA,11
WILLOW,11
XINXIN,11
YUKIKO,11
YUYING,11
ZEHAVA,11
ZENITA,11
ALISIYA,11
AMALIYA,11
ASHWINI,11
ASSUNTA,11
AURÉLIA,11
BARBARE,11
BEVERLY,11
BRIANNA,11
BRIDGET,11
CHANELL,11
CHARITY,11
CRYSTAL,11
EUFALIA,11
FILIPPA,11
GULZHAN,11
HONGYAN,11
JACINTA,11
KALPANA,11
KANCHAN,11
KANDYDA,11
KATIANA,11
MARCYNA,11
MAREIKE,11
MARZHAN,11
MAZHENA,11
MELANYA,11
MOKRYNA,11
NADEŽDA,11
NANDINI,11
NAZERKE,11
OLSZYNA,11
OTTYLIA,11
PANDORA,11
PERIZAT,11
REBEKAH,11
ROSARIO,11
SHARONA,11
SHIMRIT,11
SNEŻANA,11
STEFANY,11
TEREZIA,11
THỊ THU,11
VALÉRIA,11
VESLAVA,11
WISENNA,11
XIAOHUA,11
ŻULIANA,11
ADELHEIT,11
AKANKSHA,11
ALENTYNA,11
AMIELIIA,11
BOGDANKA,11
CǍTǍLINA,11
CHRISULA,11
CHRYSULA,11
CLOTILDE,11
CYPRIANA,11
DOROTEJA,11
GERMAINE,11
HARPREET,11
HONG ANH,11
JADRANKA,11
KARDELEN,11
KATRIONA,11
KERSTINA,11
KHADIZHA,11
KRISTĪNE,11
LIBERATA,11
LINH CHI,11
LIUTSYNA,11
MARCELLE,11
MAURYCJA,11
NI WAYAN,11
PHILIPPA,11
RADOMIRA,11
ROZALINA,11
RUSALINA,11
SEVDZHAN,11
ŚNIEŻANA,11
THỊ HẠNH,11
VESELINA,11
WALTRANT,11
XIAOQING,11
YINGYING,11
ZHULIETA,11
ANUNCJATA,11
BRONISŁWA,11
ELYZAVETA,11
GYULDZHAN,11
LEOKALDIA,11
MADELAINE,11
MAHDALENA,11
MELCHIORA,11
PATRICIJA,11
PRINCESSA,11
TADYSŁAWA,11
THỊ HƯỜNG,11
THI TRANG,11
ALIAUTSINA,11
CLÉMENTINE,11
GIUSEPPINA,11
GODZISŁAWA,11
HILDEGUNDA,11
MARCYJANNA,11
PARAKSEWIA,11
REMIGIUSZA,11
SZCZĘSŁAWA,11
THUY DUONG,11
WAŁDYSŁAWA,11
CIESZYSŁAWA,11
HUYEN TRANG,11
PARASKOVIYA,11
PHUONG LINH,11
SVIATOSLAVA,11
THI KIM OANH,11
GERTRUDA    ANNA,11
ANNA        HELENA,11
MARIA       HELENA,11
MARIA       FRANCISZKA,11
GE,10
KE,10
SU,10
AJA,10
BIN,10
LUH,10
MAE,10
MAR,10
NHI,10
RAN,10
YUI,10
AFRA,10
CHIE,10
ELGA,10
ELZE,10
GAÏA,10
GAIL,10
IDIL,10
IONA,10
IRIA,10
IWET,10
JUNA,10
KATA,10
KATI,10
KULA,10
LIAH,10
MAÏA,10
MIAH,10
MYLA,10
MYRA,10
NELE,10
NENA,10
NGAN,10
PUJA,10
RIVA,10
RUMI,10
RUNA,10
SALI,10
SAMA,10
SHAN,10
TONG,10
ALARA,10
ALIJA,10
ALIMA,10
AMILA,10
AMNAT,10
ARBEL,10
ASEEL,10
ASIIA,10
AYGUL,10
BASMA,10
BENTE,10
CAREN,10
CHAVA,10
DANIT,10
DENIS,10
ELHAM,10
ESMEE,10
FEMKE,10
FRUMA,10
GAURI,10
GIANG,10
GÖNÜL,10
HA MY,10
HANAA,10
HAYAT,10
HELLE,10
INARA,10
INGER,10
JANIS,10
JENNI,10
JODIE,10
JOLIE,10
KEILA,10
KITTI,10
KYOKO,10
LESJA,10
LIDYA,10
LINOY,10
LÚCIA,10
LUSIK,10
LYDIE,10
MAIKA,10
MAITE,10
MARAM,10
MARII,10
MARIT,10
MARJA,10
MARLI,10
MILEY,10
NAHLA,10
NALAN,10
NAYLA,10
NIRIT,10
OL'GA,10
OPHIR,10
PAZIT,10
RUCHI,10
RYOKO,10
RYTTA,10
SANNE,10
SAPNA,10
SEDEF,10
SENDI,10
ŞEYDA,10
SHELY,10
SHIHO,10
SONAL,10
TAMMY,10
TIINA,10
TOSKA,10
TSIRA,10
TUGCE,10
TUǦÇE,10
TÜLAY,10
WALAA,10
XINYU,10
YANAN,10
YAREN,10
YEEUN,10
YIHAN,10
YUFEI,10
YUNNA,10
ADALIA,10
AGLAIA,10
AITANA,10
ALOIZA,10
ALONIA,10
ANAIDA,10
ANANDA,10
ANDRII,10
ANNETT,10
AREVIK,10
BIRUTE,10
BRACHA,10
CHAIMA,10
DAPHNÉ,10
DEBBIE,10
FATIME,10
GAËLLE,10
GAIANE,10
GÜLSÜM,10
HITOMI,10
ILINCA,10
ILONKA,10
INNESA,10
JANNAT,10
JEĻENA,10
JIYEON,10
JOZEFA,10
KADRIE,10
KEVSER,10
LESLEY,10
LEZINA,10
LOTTIE,10
LUCICA,10
MAISIE,10
MASAKO,10
MATEJA,10
MEDINE,10
MEHTAP,10
MELIKA,10
MIDORI,10
MILÉNA,10
MIRTHA,10
MOLLIE,10
NAZMIE,10
NELIDA,10
PIKRIA,10
RYWANA,10
SAADET,10
SAKURA,10
SANELA,10
SAWERA,10
SHADIA,10
SHANIA,10
SHEELA,10
SHELBY,10
SHIKHA,10
SIGITA,10
SOYEON,10
SUJATA,10
ŞÜKRAN,10
SZLAMA,10
TABITA,10
TAGUHI,10
TOMOMI,10
VENETA,10
VILIJA,10
XIMENA,10
YAGODA,10
YAMINA,10
YIXUAN,10
YUZEFA,10
ZARUHI,10
ZARYNA,10
ZAYNAP,10
ALTYNAI,10
ALTYNAY,10
ANELIIA,10
ARAILYM,10
ARDIANA,10
ARIADNI,10
ASPAZJA,10
AVELINA,10
BERLANT,10
BLANCHE,10
BOŻENKA,10
CALISTA,10
CLARISA,10
CLAVDIA,10
DENISSE,10
DILYARA,10
DOMNICA,10
GERTUDA,10
GESSICA,10
GINTARĖ,10
GORETTA,10
GULDANA,10
GULNORA,10
HLAFIRA,10
HONGMEI,10
IOLANDA,10
JOCELYN,10
JOSETTE,10
KALINKA,10
KALUDIA,10
KHALIDA,10
LINDSEY,10
LIWIANA,10
LUCIANE,10
MAGALIE,10
MORGANA,10
NAMRATA,10
NECHAMA,10
NIEMIRA,10
OKSANNA,10
OKSENIA,10
OTTILIA,10
RUMEYSA,10
SABRYNA,10
SACHIKO,10
SANDHYA,10
SHANICE,10
SOLEDAD,10
SUPRIYA,10
TAHMINA,10
THỊ HOA,10
THI MEN,10
VALESKA,10
ADELINDA,10
ANDREINA,10
ANGELINE,10
ANNALENA,10
ANNELIZE,10
ATANASKA,10
BOLORMAA,10
CATHRINE,10
CHARLINE,10
CHASLAVA,10
CHAYENNE,10
FANGFANG,10
FAUSTINA,10
GEORGETA,10
GERTRAUT,10
GIA LINH,10
GRISELDA,10
JULIANNE,10
KARMELIA,10
LUBOMYRA,10
LUCIENNE,10
MARIETTE,10
PARTYCJA,10
PRAKSYDA,10
PRECIOUS,10
RUXANDRA,10
SHARMILA,10
SWETŁANA,10
THI THAM,10
TIANTIAN,10
VAISHALI,10
VALERIJA,10
VASYLISA,10
VIOLETTE,10
VIOLLETA,10
VIRONIKA,10
XIAOLING,10
ZHASMINA,10
BÉNÉDICTE,10
BERNADETT,10
CHANTALLE,10
CLEOPATRA,10
DESISŁAWA,10
DOMASŁAWA,10
ERNESTINA,10
FRANCESKA,10
GEORGETTA,10
GERALDINA,10
GÉRALDINE,10
HAYKANUSH,10
ILUMINATA,10
JEWGIENIA,10
JUTRZENKA,10
LAN HUONG,10
LUDOMIERA,10
MAKSALINA,10
NI NYOMAN,10
PARASKEVI,10
SANISŁAWA,10
SARASWATI,10
SHAKHNOZA,10
WINISŁAWA,10
YEVDOKIYA,10
EWANGELINA,10
KAPITALINA,10
LISA-MARIE,10
MARGARETTE,10
MINH TRANG,10
MONTSERRAT,10
THỊ PHƯỢNG,10
ALEXANDRINA,10
KRZYSZTOFIA,10
THI THANH HA,10
THI THANH THUY,10
MARIE-CHRISTINE,10
ELŻBIETA    ANNA,10
MAŁGORZATA  ANNA,10
HELENA      AGNIESZKA,10
DI,9
HE,9
XU,9
AKI,9
AOI,9
DEA,9
ENI,9
ETA,9
HUE,9
JAN,9
KAI,9
LIZ,9
NHU,9
NIL,9
RIE,9
SRI,9
TAO,9
ARIN,9
CILA,9
COCO,9
DALA,9
DAWN,9
DIEP,9
DYNA,9
ELFI,9
FAYE,9
FENG,9
GONI,9
GUTA,9
HALE,9
HELI,9
İPEK,9
JULE,9
JULI,9
LINE,9
LOIS,9
LULA,9
MALI,9
MAYU,9
MIMI,9
MORA,9
NAIA,9
NALA,9
NAMI,9
NATA,9
RÉKA,9
RELA,9
ROSI,9
RÓZA,9
SIAN,9
SUNA,9
TAUS,9
VĚRA,9
XENA,9
YOLA,9
YUXI,9
ZILA,9
AGAPI,9
ALEKS,9
AMATA,9
AMENA,9
ANARA,9
ANDRA,9
ANUTA,9
AYUMI,9
AYZAN,9
BATYA,9
BETTI,9
ÇAĞLA,9
CYRLA,9
DALYA,9
DIÁNA,9
FAIZA,9
FANNI,9
GANGA,9
GEETA,9
GITTA,9
HEDVA,9
HUYỀN,9
ILHAM,9
INDRA,9
IZUMI,9
JIALI,9
JIMIN,9
JONNA,9
KONUL,9
LAMAR,9
LEANA,9
LEELA,9
LIGJA,9
LIISA,9
LISSA,9
LORNA,9
LOTTI,9
MALWA,9
MANSI,9
MAYAR,9
MEERA,9
MEHAK,9
MELDA,9
MERAL,9
MERCY,9
MITRA,9
MOIRA,9
NAIME,9
NAWEL,9
NAZAN,9
NAZAR,9
NEYLA,9
NOORA,9
NURAN,9
PESIA,9
PRITI,9
RAJSA,9
RENÉE,9
RICHA,9
SERAY,9
SHANA,9
SHILA,9
SIHAM,9
SUZIE,9
TANVI,9
TOMER,9
UMIDA,9
VENUS,9
WESNA,9
YELDA,9
YILIN,9
ZARAH,9
ZIHAN,9
ZUHAL,9
ADELMA,9
AINURA,9
ALDANA,9
ALEENA,9
ALENKA,9
ALESHA,9
AMINIA,9
ANTULA,9
ANUSHA,9
APARNA,9
ARYANA,9
ASIYAT,9
ATSUKO,9
BEDRIE,9
BERFİN,9
BRANKA,9
CEMILE,9
CHASIA,9
CHERRY,9
DARIJA,9
DENIZA,9
DMYTRO,9
DONARA,9
DONIKA,9
EFIMIA,9
ELVYRA,9
ESHAAL,9
ETSUKO,9
FRANCA,9
GRACIE,9
GULNUR,9
GULSAH,9
HALENA,9
HANIFE,9
HARPER,9
HELLEN,9
HENRYK,9
HYEJIN,9
HYEWON,9
IBOLYA,9
JIAJIA,9
JIŘINA,9
JIYOON,9
JOLANA,9
JONETA,9
JULIYA,9
KANAKO,9
KUMIKO,9
LIANNE,9
LIBUŠE,9
LISBET,9
LIYING,9
LIZHEN,9
ĽUBICA,9
MAËLLE,9
MAGALÍ,9
MEGUMI,9
MEYTAL,9
MINDLA,9
MIREIA,9
MIYUKI,9
NARGIS,9
NATALÍ,9
NAZRIN,9
NEHAMA,9
NESRIN,9
NIGINA,9
NURDAN,9
OTYLDA,9
RADIKA,9
REYHAN,9
ROSANE,9
ROZYTA,9
RYBANA,9
SALOMÉ,9
SEFORA,9
SENADA,9
SEVCAN,9
SHIRLI,9
SIGRUN,9
SÍLVIA,9
SINTIA,9
SIYANA,9
SKYLAR,9
SOLENE,9
TADEJA,9
TALINA,9
TARANA,9
TASNIM,9
THI LE,9
VARSHA,9
VENESA,9
WACŁAW,9
WERENA,9
WINNIE,9
XIUHUA,9
YAǦMUR,9
YUHONG,9
YUQING,9
YUXUAN,9
ZANETA,9
ZARGAN,9
ŻYWILA,9
ADOLINA,9
ALISSIA,9
ANAËLLE,9
ANAMIKA,9
ANDREJA,9
ANGELLA,9
ARANTXA,9
ARPENIK,9
ARUSYAK,9
AVISHAG,9
AZZURRA,9
BARNABA,9
BENGINA,9
BIRLANT,9
BŁAŻEJA,9
BŁAŻENA,9
BORIANA,9
BOTAGOZ,9
CHANDRA,9
CHRYSTA,9
DOMNIKA,9
DŻENETA,9
DŻENNET,9
EUDOCJA,9
EWALINA,9
EWGENIA,9
FLORIDA,9
FRYMETA,9
HLORIIA,9
HRANUSH,9
ILEKTRA,9
JACKLYN,9
JASMEEN,9
JEFIMIA,9
JERMINA,9
JINGWEN,9
JURANDA,9
KAMILJA,9
KARIOKA,9
KAWTHAR,9
KSEMENA,9
KYRIAKI,9
LISETTE,9
LJUBICA,9
LORELEI,9
LUDGERA,9
MADELYN,9
MADONNA,9
MARCINA,9
MARIANN,9
MARIYKA,9
MELANII,9
MICHIKO,9
MIRIAMA,9
NICHOLE,9
OTTOLIA,9
PIROSKA,9
PREETHI,9
RADMYLA,9
REBEKKA,9
RICARDA,9
STELINA,9
TATEWIK,9
TERENIA,9
THI ANH,9
THỊ MAI,9
TODORKA,9
WIKTORA,9
XIAOQIN,9
YEHUDIT,9
YEN NHI,9
YOUNGMI,9
ZHYLDYZ,9
ŻULIETA,9
ŻYWILLA,9
ADELFINA,9
ANDZHELA,9
ANNELORE,9
ANOUSHKA,9
ANURADHA,9
ANŽELIKA,9
BARABARA,9
BAYARMAA,9
BERENIKE,9
CONCETTA,9
CORALINE,9
DOROTHÉE,9
DŻESSIKA,9
EVDOCHIA,9
FELIKSJA,9
FIDELISA,9
GERHARDA,9
GILBERTA,9
IMISŁAWA,9
IZABELLE,9
JOCHANNA,9
JULIENNE,9
KATHERIN,9
KRISTÝNA,9
LAETICIA,9
LEONILIA,9
LILYANNA,9
LUDIVINE,9
MADALENA,9
MAGDALEN,9
MARGALIT,9
OLGIERDA,9
RACHELLE,9
RAFFAELA,9
ROSALIND,9
ROZALIYA,9
SANTIANA,9
SHIVANGI,9
STOJANKA,9
SUSHMITA,9
THI BICH,9
THỊ HIỀN,9
THI HOAN,9
THI LINH,9
THI THOA,9
THỊ THÚY,9
THU THUY,9
UN HYANG,9
VIKTORYA,9
WALERIJA,9
WASILINA,9
WIESLAWA,9
XIAOYING,9
YASSMINE,9
ZALIKHAN,9
ZENOVIYA,9
ŻAKELINA,9
ANN-MARIE,9
ANSTASIIA,9
AUGUSTINA,9
BEATRICZE,9
BIBLIANNA,9
BRONHILDA,9
DOMISŁAWA,9
DZHAMILIA,9
ELEONARDA,9
ERNESTINE,9
FRANCISKA,9
GODYSŁAWA,9
HA PHUONG,9
HORTENZJA,9
IRMTRAUDA,9
KRZYSŁAWA,9
LILLY-ANN,9
MARCELINE,9
MICHELINE,9
MINH CHAU,9
RADOSTINA,9
SEMILIANA,9
THI QUYEN,9
THUY TIEN,9
VAISHNAVI,9
VLADIMÍRA,9
WIKTORIIA,9
YEVGENIIA,9
ŻENISŁAWA,9
BRANISLAVA,9
CLEMENTINA,9
EUFROSINIA,9
EVANGELINA,9
HEIDEMARIA,9
INGETRAUDA,9
MARIANGELA,9
PHƯƠNG ANH,9
RÓŻA MARIA,9
THI NGUYET,9
ALEKSANDERA,9
ALEKSANDRIA,9
ALTANTSETSEG,9
THI THU TRANG,9
ALICJA      MARIA,9
HELENA      MARTA,9
JADWIGA     MARTA,9
MARIA DEL ROSARIO,9
REGINA      MARIA,9
WU,8
EMY,8
FEI,8
LAI,8
LAM,8
LOU,8
TAN,8
ADAR,8
ADDA,8
AGNĖ,8
AGNI,8
AILI,8
AMIE,8
ANGE,8
ARTA,8
AYAT,8
BIBI,8
BINH,8
DIYA,8
EKIN,8
ELDA,8
ETLA,8
GABY,8
GWEN,8
HOAI,8
IHOR,8
İNCİ,8
INTA,8
ISIS,8
JIAN,8
KALI,8
KLEA,8
LEAL,8
LIGA,8
LILE,8
LIRA,8
LONI,8
LULU,8
MANA,8
MAŠA,8
MAUD,8
MIAO,8
NARA,8
NICA,8
NITA,8
OYUN,8
PESA,8
ROYA,8
RŪTA,8
SIRI,8
SIYA,8
SUAD,8
SYMA,8
TAIS,8
TAMI,8
THÚY,8
VETA,8
ŽANA,8
AALIA,8
ADILA,8
AGÁTA,8
AHSEN,8
AISEL,8
AKANE,8
AKARI,8
AMALA,8
AMBAR,8
AMRIT,8
ANETE,8
ANINA,8
ARWEN,8
ASMAT,8
AVERY,8
AYLİN,8
BEGUM,8
BUŞRA,8
DALAL,8
DANAE,8
DILAY,8
DINAH,8
DIORA,8
DULCE,8
EDZIA,8
ELMAS,8
ENIKŐ,8
EYLEM,8
FADIA,8
FATEN,8
FATME,8
GHADA,8
GOLDA,8
GONCA,8
GOZDE,8
HANNI,8
HONEY,8
IKUKO,8
IRÈNE,8
IVONE,8
IWANA,8
JAYNE,8
KARNI,8
KYARA,8
KYUNG,8
LACEY,8
LAMAN,8
LETTY,8
LIRAZ,8
LIUDA,8
LIYAN,8
LUBNA,8
LYNNE,8
MAINA,8
MAMTA,8
MEDNA,8
MEIRA,8
MINJU,8
MINKA,8
MISZA,8
NEETA,8
NEJLA,8
NESSA,8
NINON,8
NVARD,8
ODILE,8
PETIA,8
RAHAF,8
RAHMA,8
RANYA,8
RAYAN,8
RHONA,8
ROMAN,8
RONNI,8
RUZAN,8
SANDA,8
SAORI,8
SERRA,8
SESIL,8
SHAMS,8
SILJA,8
SOFJA,8
STEFA,8
SUFEN,8
SUNMI,8
SUSIE,8
TAINA,8
TÂNIA,8
TRUDE,8
VANJA,8
VICKI,8
WŁADA,8
YEŞIM,8
YIFEI,8
YONCA,8
ZHANG,8
ZULAY,8
AFSANA,8
AISULU,8
AKERKE,8
ALANNA,8
ALBANA,8
AMELJA,8
ANEŽKA,8
ASTRIT,8
ASTRYD,8
AWIETA,8
AYMANI,8
BIMALA,8
CARRIE,8
COLETT,8
COLINE,8
DANDAN,8
DANILA,8
DAVINA,8
DEANNA,8
DELILA,8
DESIRE,8
DGANIT,8
DIYORA,8
EDYTTA,8
EFREMA,8
ELITSA,8
ELLADA,8
ELPIDA,8
EMILLA,8
ETELKA,8
FATUMA,8
FELISA,8
GENEVA,8
GITANA,8
GLENDA,8
GULNAR,8
GYULER,8
HABIBA,8
HADASA,8
HALIME,8
HANEEN,8
HANIFA,8
HARUNA,8
HAYDEE,8
HOLLIE,8
İLAYDA,8
INEZJA,8
IVONNA,8
JANIKA,8
JEMINA,8
JOLENE,8
JULIKA,8
JŪRATĖ,8
KAHINA,8
KAYMET,8
LATINA,8
LIFANG,8
LINGLI,8
LUDWIK,8
MANAMI,8
MARYKA,8
MAŽENA,8
MELİSA,8
MIKELA,8
MILENE,8
MOLDIR,8
NATASA,8
NEVADA,8
NIJOLĖ,8
PHƯƠNG,8
PIOTRA,8
PRISHA,8
PRISKA,8
RAMILA,8
REGINE,8
RIBANA,8
ROZANA,8
SARIKA,8
SATOMI,8
SATURA,8
SAVINA,8
SERHII,8
ŞEVVAL,8
SHAYEN,8
SHERYL,8
SHOVAL,8
SHUANG,8
SOUMIA,8
SUMIRE,8
TADZIA,8
TAHIRA,8
TAMIŁA,8
TAYISA,8
THỊ HÀ,8
THI TU,8
ULRIKA,8
VARDIT,8
WEIFEN,8
WELINA,8
WENWEN,8
WIOSNA,8
XIAONA,8
XIUMEI,8
YAGMUR,8
YAMILA,8
YANHUA,8
YICHEN,8
YUFENG,8
YUTONG,8
ZHANAR,8
ZIGRID,8
ŻENATA,8
ADRIENN,8
ALŽBĚTA,8
ANUSZKA,8
ARENIKA,8
ARIANNE,8
ARLINDA,8
ARSENIA,8
AURELLA,8
BAO HAN,8
BISERKA,8
CAMILIA,8
CATHRIN,8
CHIONIA,8
CHOLPON,8
CZESŁAW,8
DANGOLA,8
DARINKA,8
DÉBORAH,8
DESIRÉE,8
DILIARA,8
DILNOZA,8
EFTIMIA,8
ELSBETH,8
EMELINA,8
EUNJUNG,8
EVDOKIA,8
FLORICA,8
HADIŻAT,8
HELENKA,8
HELOISA,8
IALANTA,8
ILARIIA,8
INGRIED,8
JAMELIA,8
JEANINE,8
KARISSA,8
KATRIEN,8
KILIANA,8
KLAWDIA,8
KRISHNA,8
LAUREEN,8
LAURENA,8
LEILANI,8
LETITIA,8
LORELAI,8
MAKAYLA,8
MAKVALA,8
MARIEKE,8
MARILOU,8
MARIYAM,8
MARKETA,8
MATRENA,8
MEILING,8
MELENIA,8
MIRALDA,8
MIROPIA,8
NATASJA,8
NATSUKI,8
NERIMAN,8
PALLAVI,8
PATIMAT,8
RÓŻANNA,8
RUTENDO,8
RYSŁAWA,8
SERAFIA,8
SHANTAL,8
SHANTEL,8
SHIZUKA,8
SHUSHAN,8
SIBYLLE,8
SŁAWENA,8
SUKANYA,8
SÜMEYRA,8
THI HAI,8
TIFFANI,8
TRINITY,8
WASYLIA,8
XIAOLAN,8
YANHONG,8
YOLANDE,8
YU-TING,8
ZENOMIA,8
ZOLZAYA,8
ŻORŻETA,8
ADRIANNE,8
AGREPINA,8
AKSIENIA,8
AN NHIEN,8
ANŻELINA,8
CATHLEEN,8
CONSUELO,8
COSTANZA,8
CZESLAWA,8
DONATYLA,8
EUNYOUNG,8
EVGUENIA,8
FATMANUR,8
FEURONIA,8
GERTRUDE,8
GRASYLDA,8
GREGORIA,8
GÜLBAHAR,8
HAJNALKA,8
HENDRIKA,8
IGNACYNA,8
JANUARIA,8
JENIFFER,8
JI YOUNG,8
JORDANKA,8
KAZIMIRA,8
KAŹMIERA,8
KHADIDJA,8
KHADIJAH,8
KORALINA,8
LAMBERTA,8
LISELOTA,8
LIUDMIŁA,8
LORENCJA,8
MAI LINH,8
MARIELLE,8
MARY-ANN,8
MARYANNA,8
MELITYNA,8
MÜZEYYEN,8
MZEVINAR,8
NEDZHIBE,8
NI KADEK,8
PINELOPI,8
QIANQIAN,8
ROSSELLA,8
SIEGRIDA,8
SIGLINDA,8
SUZANNAH,8
THỊ DUNG,8
THỊ LIÊN,8
THỊ LOAN,8
THI NGOC,8
THỊ NGỌC,8
THỊ OANH,8
THUY NGA,8
TSOVINAR,8
VASYLYSA,8
VINCENZA,8
WASYŁYNA,8
YEVHENIA,8
ZINOWIJA,8
ADELTRAUD,8
ALBERTINA,8
ANDRZEJKA,8
ANH DUONG,8
ANNAMÁRIA,8
CHARMAINE,8
DANIELINA,8
DIETLINDA,8
DIMITRINA,8
DOMNIKIIA,8
DOMOSŁAWA,8
DRAHOMIRA,8
DZHAMILYA,8
EDELTRANT,8
EUFREZYNA,8
FATOUMATA,8
FIEOFANIA,8
HONG HANH,8
HONG NGOC,8
IRENEUSZA,8
KHADISHAT,8
KORNELIIA,8
KORNELIJA,8
KRISTIANA,8
LEOKADIIA,8
MAGDALINA,8
MALGOŽATA,8
MARGARETH,8
MARIANNNA,8
PARASKEWI,8
REMISŁAWA,8
STAFANIYA,8
THI QUYNH,8
THI THUAN,8
THỊ TRANG,8
THU HUYEN,8
VLADIMIRA,8
WIROSŁAWA,8
ANNASTASIA,8
EMMANUELLA,8
ENGELBERTA,8
FREDERIQUE,8
NORBERTYNA,8
PASCHALINA,8
SEBASTIANA,8
THANH THUY,8
GIZELTRAUDA,8
GUILLERMINA,8
MARIATERESA,8
THANH HUYEN,8
THI THU THUY,8
THI THANH NGA,8
THỊ THU TRANG,8
AGNIESZKA   ANNA,8
ZOFIA       ANNA,8
AGNIESZKA   MARIA,8
BRONISŁAWA  MARIA,8
JANINA      WANDA,8
MAŁGORZATA  MARIA,8
URSZULA     MARIA,8
MARIA       JANINA,8
HELENA      JADWIGA,8
GERTRUDA    ELŻBIETA,8
HO,7
JU,7
MA,7
SO,7
BAT,7
CUC,7
DAR,7
ENA,7
HAO,7
HOI,7
JAE,7
LÍA,7
MAN,7
MEA,7
NIR,7
PEI,7
RIN,7
RON,7
SEO,7
YIN,7
AJNA,7
ALEA,7
AYAN,7
BING,7
DAŠA,7
DURU,7
EIKO,7
ENAS,7
ETER,7
GOAR,7
HẠNH,7
HEMA,7
HOAN,7
ISRA,7
JAYA,7
JENA,7
JINA,7
JULA,7
KIMA,7
LALE,7
LEDA,7
LINN,7
LORE,7
LUSI,7
MAMI,7
MILI,7
MIWA,7
NAZI,7
NEŞE,7
ORLI,7
PUIA,7
REDA,7
RIDA,7
RIZA,7
ROSY,7
RUPA,7
SAGA,7
SAKI,7
SATI,7
SATU,7
ŞULE,7
SUMI,7
TIIA,7
VIAN,7
VIET,7
YINA,7
YUQI,7
ZHEN,7
ADILE,7
AGNÉS,7
ANELA,7
ANILA,7
ASAKO,7
ATARA,7
AVRIL,7
AYTAN,7
AZIME,7
BIANA,7
CÁTIA,7
CHANG,7
CHENG,7
CHIKA,7
CHIPO,7
CRINA,7
DAIGA,7
DEJZI,7
DİLEK,7
DUNYA,7
EBRAR,7
ELĪNA,7
ERISA,7
ERITA,7
ESILA,7
EYNAT,7
FIGEN,7
GINKA,7
GOŁDA,7
GÜLER,7
GUZAL,7
HA VY,7
HALEY,7
HAVIN,7
HEDDA,7
HELMA,7
HILIT,7
HRETA,7
IKRAM,7
IRMAK,7
IVETT,7
KAJRA,7
KATHE,7
KIRTI,7
KŰBRA,7
LENNY,7
LEORA,7
LEYLI,7
LIFEN,7
LIQIN,7
LIRAN,7
LIXIA,7
LOLLA,7
LUONG,7
MALVA,7
MANYA,7
MEIKE,7
MELİS,7
MILIA,7
MINJI,7
MIRJA,7
NANDA,7
NDEYE,7
NEENA,7
NEHIR,7
NILAM,7
NIZAN,7
NOMIN,7
NUTSA,7
OMINA,7
OZLEM,7
PAWEŁ,7
PAYAL,7
PEARL,7
QUEEN,7
RAMYA,7
RYSIA,7
SAARA,7
SABAH,7
SADIE,7
SAIMA,7
SAMAH,7
SANAZ,7
SEVAL,7
SEVDE,7
SHOKO,7
SIDRA,7
SISSY,7
SOFKA,7
SOUAD,7
STINA,7
SUBIN,7
SUELY,7
SUMIN,7
SUNNY,7
TAMIA,7
TASHA,7
TELMA,7
TERSA,7
TEUTA,7
TIARA,7
TOHAR,7
VANYA,7
WALLA,7
WEILI,7
WILIA,7
XIULI,7
YIRAN,7
YIWEN,7
YONIT,7
YUHUA,7
YUSRA,7
ZARIA,7
ZOICA,7
ZORKA,7
ABDONA,7
ADAEZE,7
ADELLE,7
ADELYA,7
AHNIYA,7
AINARA,7
AISCHA,7
ALWIRA,7
ANISHA,7
ANTHEA,7
ANTONI,7
ARJETA,7
ASHLEE,7
ASMINA,7
AUTUMN,7
BABITA,7
BAO AN,7
BEIBEI,7
BHAKTI,7
BIRSEN,7
BLANDA,7
BURÇIN,7
ÇIĞDEM,7
CORINE,7
CYLINA,7
DAMIRA,7
DANITA,7
DARIKO,7
DEJANA,7
DEVORA,7
DORITA,7
EDWIGE,7
EIMEAR,7
ELOÏSE,7
EMILYA,7
ENRICA,7
ENRIKA,7
FADIME,7
FATIHA,7
FELINA,7
FERIDE,7
FIKRIE,7
FIOKŁA,7
FLAVIE,7
GALIYA,7
GHAZAL,7
GULZAT,7
HAVANA,7
HÉLÉNA,7
HUIHUI,7
ILDIKO,7
İLKNUR,7
INGRYT,7
IRSANA,7
JANETE,7
JEMIMA,7
JIAHUI,7
JIAXIN,7
JINGYI,7
KALETA,7
KAZUKO,7
KEZBAN,7
KIRSTY,7
LAUREL,7
LILLIE,7
LORDES,7
LUCILE,7
MADARA,7
MADIHA,7
MAKIKO,7
MAKSYM,7
MARSHA,7
MARYNE,7
MAXIME,7
MAYARA,7
MILITA,7
NADÈGE,7
NANAMI,7
NERGIS,7
NERINA,7
NESIBE,7
NIJOLE,7
NOËLLE,7
NURIIA,7
NURIYA,7
NYASHA,7
ORNELA,7
PRACHI,7
RITIKA,7
RÓŻENA,7
RUPALI,7
SAADAT,7
SAANVI,7
SANIYA,7
SAPANA,7
SATOKO,7
SAVITA,7
SAWSAN,7
ŞEBNEM,7
SEMIHA,7
