Names,Totals
Nellie,1268896
Carina,1269131
Jessa,1269366
Kaisley,1269601
Persephone,1269836
Riya,1270071
Saanvi,1270306
Tegan,1270541
Susan,1270775
Honesty,1271008
Melania,1271241
Milah,1271474
Brenna,1271705
Freyja,1271934
Loretta,1272163
Kamari,1272391
Kristina,1272619
Libby,1272847
Selina,1273075
Violette,1273303
Ayanna,1273530
Jaida,1273757
Malayah,1273984
Marcella,1274211
Sevyn,1274437
Tabitha,1274663
Lizbeth,1274888
Seraphina,1275113
Anniston,1275337
Anabella,1275560
Aryanna,1275783
Lianna,1276005
Monserrat,1276227
Caylee,1276448
Mariyah,1276669
Theresa,1276890
Zayla,1277111
Aliah,1277331
Aubri,1277551
Cleo,1277771
Kyndall,1277991
Luisa,1278211
Carsyn,1278430
Evalynn,1278649
Halo,1278868
Zoya,1279087
Angeline,1279305
Shayla,1279523
Addalyn,1279740
Jenny,1279957
Mireya,1280174
Rae,1280391
Amya,1280607
Elia,1280823
Mollie,1281039
Rosalina,1281255
Sharon,1281471
Betty,1281686
Miya,1281901
Sidney,1282116
Aarya,1282330
Araceli,1282544
Aspyn,1282758
Viola,1282972
Akira,1283185
Alaiya,1283398
Diamond,1283611
Micaela,1283824
Raya,1284037
Blessing,1284249
Jaylani,1284461
Madyson,1284673
Rowyn,1284885
Kensington,1285096
Maddie,1285307
Majesty,1285518
Maylee,1285729
Aila,1285939
Heather,1286149
Julianne,1286359
Loyalty,1286569
Kinzley,1286778
Neveah,1286987
Raylynn,1287196
Beatrix,1287404
Darcy,1287612
Hensley,1287820
Leena,1288028
Jaylin,1288235
Cambria,1288441
Everley,1288647
Leilany,1288853
Patience,1289059
Caitlyn,1289264
Carson,1289469
Finnley,1289674
Marjorie,1289879
Sapphire,1290084
Cristina,1290288
Dara,1290492
Elayna,1290696
Inaaya,1290900
Katerina,1291104
Kylah,1291308
Melani,1291512
Oakleigh,1291716
Aryana,1291919
Audrina,1292122
Devyn,1292325
Rylynn,1292528
Vivianna,1292731
Alissa,1292932
Dalilah,1293133
Ireland,1293334
Lorena,1293535
Elin,1293735
Ivana,1293935
Lilyanna,1294135
Moriah,1294335
Asha,1294534
Campbell,1294733
Courtney,1294932
Janae,1295131
Kaelynn,1295330
Kynslee,1295529
Nyomi,1295728
Anabelle,1295926
Litzy,1296124
Alyvia,1296321
Leilah,1296517
Natalee,1296713
Prisha,1296909
Rhylee,1297105
Agnes,1297300
Briley,1297495
Kasey,1297690
Leela,1297885
Shea,1298080
Antonia,1298274
Marian,1298468
Sally,1298662
Vivien,1298856
Yaritza,1299049
Annette,1299241
Evelina,1299433
Kamora,1299624
Lakelyn,1299815
Lenora,1300006
Meera,1300197
Celina,1300387
Ida,1300577
Karma,1300767
Lesly,1300957
Aimee,1301146
Diya,1301335
Kristen,1301524
Rayleigh,1301713
Ripley,1301902
Adela,1302090
Carlie,1302278
Janiya,1302466
Noel,1302654
Samiyah,1302842
Skylynn,1303030
Adilene,1303217
Araya,1303404
Charity,1303591
Charlize,1303778
Jasmin,1303965
Audriana,1304151
Harlyn,1304337
Iyla,1304523
Maisyn,1304709
Rowen,1304895
Soraya,1305081
Addalynn,1305266
Baylor,1305451
Clover,1305636
Katelynn,1305821
Isadora,1306005
Rita,1306189
Vayda,1306373
Addie,1306556
Amal,1306739
Karmen,1306922
Kaycee,1307105
Malka,1307288
Rosalind,1307471
Amilia,1307653
Capri,1307835
Elissa,1308017
Cassie,1308198
Georgina,1308379
Ila,1308560
Liah,1308741
Quincy,1308922
Asia,1309102
Bernadette,1309282
Mariella,1309462
Navy,1309642
Nayla,1309822
Roxanne,1310002
Shanaya,1310182
Ally,1310361
Karleigh,1310540
Khari,1310719
Kinsleigh,1310898
Alaysia,1311076
Darla,1311254
Jordynn,1311432
Tallulah,1311610
Ayah,1311787
Drew,1311964
Marceline,1312141
Brayleigh,1312317
Emberlynn,1312493
Farah,1312669
Gisselle,1312845
Gwyneth,1313021
Makena,1313197
Tess,1313373
Annelise,1313548
Beverly,1313723
Layan,1313898
Maryjane,1314073
Noah,1314248
Rebeca,1314423
Siya,1314598
Emmalee,1314772
Lindsay,1314946
Mika,1315120
Aida,1315293
Brynley,1315466
Elara,1315639
Ellery,1315812
Jael,1315985
Journei,1316158
Keziah,1316331
Skylah,1316504
Abrielle,1316676
Amarah,1316848
Andie,1317020
Ariadna,1317192
Ashton,1317364
Mckayla,1317536
Stacy,1317708
Audra,1317879
Bayleigh,1318050
Kaleigh,1318221
Kamille,1318392
